% Time history data
% Time schemes: 
%   0 = Steady
%   1 = FE
%   2 = AB2
%   3 = AB3
%   4 = BDF1
%   5 = BDF2
%   6 = BDF3
%   7 = BDF4
%   8 = AM2
%   9 = AM3
%   10 = RK2
%   11 = RK3
%   12 = RK4
%   13 = RK5
%   14 = RK6
%   15 = ESDIRK3
%   16 = ESDIRK4
%   17 = ESDIRK5
%   18 = DIRK3
%   19 = DIRK4
%   20 = EBDF1
%   21 = EBDF2
%   22 = EBDF3
%   23 = EBDF4
%   24 = MEBDF1
%   25 = MEBDF2
%   26 = MEBDF3
%   27 = MEBDF4
%   28 = SAMF1
%   29 = SAMF2
%   30 = SAMF3
%   31 = SAMF4
%   32 = DG1
%   33 = DG2
%            iTime             Time         TimeStep       TimeScheme                     Drag                     Lift
                87   8.70000000E+00   1.00000000E-01                5   8.5066652720027530E-02   3.0096704128152618E-01
                88   8.80000000E+00   1.00000000E-01                5   9.2677387382489942E-02   3.0302931067736577E-01
                89   8.90000000E+00   1.00000000E-01                5   9.6628954957578117E-02   2.9705446151012738E-01
                90   9.00000000E+00   1.00000000E-01                5   9.6855470151043760E-02   2.8773599220831336E-01
                91   9.10000000E+00   1.00000000E-01                5   9.2784242820405358E-02   2.7080690647357442E-01
                92   9.20000000E+00   1.00000000E-01                5   8.5708475523406796E-02   2.4975916026429240E-01
                93   9.30000000E+00   1.00000000E-01                5   7.9340790201761796E-02   2.3751322093553631E-01
                94   9.40000000E+00   1.00000000E-01                5   7.7088385929393849E-02   2.4488959115656417E-01
                95   9.50000000E+00   1.00000000E-01                5   7.8928481625184302E-02   2.6868732247619659E-01
                96   9.60000000E+00   1.00000000E-01                5   8.2241504060801399E-02   2.9126972876173074E-01
                97   9.70000000E+00   1.00000000E-01                5   8.5865855421561957E-02   2.9750828736843138E-01
                98   9.80000000E+00   1.00000000E-01                5   8.8371332387104110E-02   2.8850148075026633E-01
                99   9.90000000E+00   1.00000000E-01                5   8.7920662213528442E-02   2.7486436025495459E-01
               100   1.00000000E+01   1.00000000E-01                5   8.6080691017508343E-02   2.6496627167016490E-01
               101   1.01000000E+01   1.00000000E-01                5   8.2765122086365092E-02   2.5455231017706792E-01
               102   1.02000000E+01   1.00000000E-01                5   7.7328792445730904E-02   2.3978187136812695E-01
               103   1.03000000E+01   1.00000000E-01                5   7.1413404989179974E-02   2.2823026162904533E-01
               104   1.04000000E+01   1.00000000E-01                5   6.9300804408482741E-02   2.3577250335788702E-01
               105   1.05000000E+01   1.00000000E-01                5   7.2560774601693925E-02   2.6491167307727453E-01
               106   1.06000000E+01   1.00000000E-01                5   7.8013921697647370E-02   2.9967098957500743E-01
               107   1.07000000E+01   1.00000000E-01                5   8.2337090989319309E-02   3.2431036689507159E-01
               108   1.08000000E+01   1.00000000E-01                5   8.4737486157407477E-02   3.3407236125738421E-01
               109   1.09000000E+01   1.00000000E-01                5   8.5594103738833666E-02   3.3111624705853870E-01
               110   1.10000000E+01   1.00000000E-01                5   8.4964795679936547E-02   3.1972072823928865E-01
               111   1.11000000E+01   1.00000000E-01                5   8.2792100333247576E-02   3.0338252049142866E-01
               112   1.12000000E+01   1.00000000E-01                5   7.9248358186602058E-02   2.8441207196750579E-01
               113   1.13000000E+01   1.00000000E-01                5   7.4457538972123219E-02   2.6360644242241843E-01
               114   1.14000000E+01   1.00000000E-01                5   6.8782474807362770E-02   2.4251997005946635E-01
               115   1.15000000E+01   1.00000000E-01                5   6.3785830806994265E-02   2.2752072719460942E-01
               116   1.16000000E+01   1.00000000E-01                5   6.1916243845765662E-02   2.2790971602750384E-01
               117   1.17000000E+01   1.00000000E-01                5   6.3996391565149691E-02   2.4531116643055806E-01
               118   1.18000000E+01   1.00000000E-01                5   6.8564017417028403E-02   2.6962044107422356E-01
               119   1.19000000E+01   1.00000000E-01                5   7.4400431303326200E-02   2.8738070693939993E-01
               120   1.20000000E+01   1.00000000E-01                5   8.1130633124636656E-02   2.9109138035044840E-01
               121   1.21000000E+01   1.00000000E-01                5   8.6746452444487032E-02   2.8582257030749136E-01
               122   1.22000000E+01   1.00000000E-01                5   8.9563865619953539E-02   2.7688516559734971E-01
               123   1.23000000E+01   1.00000000E-01                5   8.8985048046272178E-02   2.6318152828411329E-01
               124   1.24000000E+01   1.00000000E-01                5   8.4951142006209873E-02   2.4393784487527798E-01
               125   1.25000000E+01   1.00000000E-01                5   7.9299915505575844E-02   2.2606384140950328E-01
               126   1.26000000E+01   1.00000000E-01                5   7.5795023266646125E-02   2.2323250126578867E-01
               127   1.27000000E+01   1.00000000E-01                5   7.6934267856012650E-02   2.4234880493463992E-01
               128   1.28000000E+01   1.00000000E-01                5   8.1535557051428884E-02   2.7378294214299675E-01
               129   1.29000000E+01   1.00000000E-01                5   8.7030229268002482E-02   2.9771882741672950E-01
               130   1.30000000E+01   1.00000000E-01                5   9.2362926935312284E-02   3.0354281702360647E-01
               131   1.31000000E+01   1.00000000E-01                5   9.5125545649710333E-02   2.9693400982061541E-01
               132   1.32000000E+01   1.00000000E-01                5   9.4409628123317449E-02   2.8458655432148233E-01
               133   1.33000000E+01   1.00000000E-01                5   9.1187408908478207E-02   2.6971063291800690E-01
               134   1.34000000E+01   1.00000000E-01                5   8.5758347232949395E-02   2.5109993176157336E-01
               135   1.35000000E+01   1.00000000E-01                5   7.8519226469524292E-02   2.2923828493595014E-01
               136   1.36000000E+01   1.00000000E-01                5   7.0933978459724586E-02   2.1057445611850967E-01
               137   1.37000000E+01   1.00000000E-01                5   6.6101693801125669E-02   2.0718052785004096E-01
               138   1.38000000E+01   1.00000000E-01                5   6.6838183686912411E-02   2.2721623736883098E-01
               139   1.39000000E+01   1.00000000E-01                5   7.1840327461480558E-02   2.6110208895803588E-01
               140   1.40000000E+01   1.00000000E-01                5   7.7318876218173252E-02   2.8761543353275332E-01
               141   1.41000000E+01   1.00000000E-01                5   8.1004077695945864E-02   2.9512758612245954E-01
               142   1.42000000E+01   1.00000000E-01                5   8.1776659097009666E-02   2.8937589221987198E-01
               143   1.43000000E+01   1.00000000E-01                5   7.9806287572886228E-02   2.7761899940620249E-01
               144   1.44000000E+01   1.00000000E-01                5   7.5826256076756207E-02   2.6354100546244147E-01
               145   1.45000000E+01   1.00000000E-01                5   7.1028769266876290E-02   2.5137887924209495E-01
               146   1.46000000E+01   1.00000000E-01                5   6.7429136800758058E-02   2.4787999139933742E-01
               147   1.47000000E+01   1.00000000E-01                5   6.6113843087488605E-02   2.5500037370098638E-01
               148   1.48000000E+01   1.00000000E-01                5   6.6611620212237363E-02   2.6751417071278427E-01
               149   1.49000000E+01   1.00000000E-01                5   6.8527986150171208E-02   2.7841063314502584E-01
               150   1.50000000E+01   1.00000000E-01                5   7.1687583410017727E-02   2.8173637156075776E-01
               151   1.51000000E+01   1.00000000E-01                5   7.4944600601897476E-02   2.7812317960304678E-01
               152   1.52000000E+01   1.00000000E-01                5   7.6682671988164336E-02   2.7020158398831656E-01
               153   1.53000000E+01   1.00000000E-01                5   7.6106240259882468E-02   2.5821338215596679E-01
               154   1.54000000E+01   1.00000000E-01                5   7.3616169566681974E-02   2.4402328733596723E-01
               155   1.55000000E+01   1.00000000E-01                5   7.0468371640689698E-02   2.3169589247501307E-01
               156   1.56000000E+01   1.00000000E-01                5   6.7818503638115341E-02   2.2495307921706978E-01
               157   1.57000000E+01   1.00000000E-01                5   6.6843286352050682E-02   2.2764194886966702E-01
               158   1.58000000E+01   1.00000000E-01                5   6.8630825121334185E-02   2.4158167807479042E-01
               159   1.59000000E+01   1.00000000E-01                5   7.2914440748776760E-02   2.5981411194885862E-01
               160   1.60000000E+01   1.00000000E-01                5   7.8536344162628738E-02   2.7008870369088911E-01
               161   1.61000000E+01   1.00000000E-01                5   8.3785689816266287E-02   2.7040992924843643E-01
               162   1.62000000E+01   1.00000000E-01                5   8.6507361627411669E-02   2.6425196028108400E-01
               163   1.63000000E+01   1.00000000E-01                5   8.5860220995465947E-02   2.5140459796166514E-01
               164   1.64000000E+01   1.00000000E-01                5   8.2069216110737864E-02   2.3208494556297937E-01
               165   1.65000000E+01   1.00000000E-01                5   7.6466919211062925E-02   2.0996689162681578E-01
               166   1.66000000E+01   1.00000000E-01                5   7.0332645164744009E-02   1.8872680614488427E-01
               167   1.67000000E+01   1.00000000E-01                5   6.4547960322698925E-02   1.7113452291180337E-01
               168   1.68000000E+01   1.00000000E-01                5   6.0242348594329732E-02   1.6147574997150654E-01
               169   1.69000000E+01   1.00000000E-01                5   5.8622280291854713E-02   1.6445182368980241E-01
               170   1.70000000E+01   1.00000000E-01                5   5.9926400364467204E-02   1.8027699164164077E-01
               171   1.71000000E+01   1.00000000E-01                5   6.3061521816126564E-02   2.0144328335552067E-01
               172   1.72000000E+01   1.00000000E-01                5   6.6919068513551505E-02   2.1657283601020705E-01
               173   1.73000000E+01   1.00000000E-01                5   7.1295040531845544E-02   2.1894263893783128E-01
               174   1.74000000E+01   1.00000000E-01                5   7.5209093860310286E-02   2.1388184457957077E-01
               175   1.75000000E+01   1.00000000E-01                5   7.7798039714865763E-02   2.0902390709333343E-01
               176   1.76000000E+01   1.00000000E-01                5   7.8735935773875554E-02   2.0348750399997978E-01
               177   1.77000000E+01   1.00000000E-01                5   7.7255866532179127E-02   1.9313147875004497E-01
               178   1.78000000E+01   1.00000000E-01                5   7.3425855975616558E-02   1.7810008240662517E-01
               179   1.79000000E+01   1.00000000E-01                5   6.8658730881182337E-02   1.6450765120662614E-01
               180   1.80000000E+01   1.00000000E-01                5   6.5502242052957210E-02   1.6222679890317099E-01
               181   1.81000000E+01   1.00000000E-01                5   6.6192356838095406E-02   1.7819796657723727E-01
               182   1.82000000E+01   1.00000000E-01                5   7.0346979075882263E-02   2.0682991095660472E-01
               183   1.83000000E+01   1.00000000E-01                5   7.5455947779797153E-02   2.3078806532181084E-01
               184   1.84000000E+01   1.00000000E-01                5   7.9822869316046027E-02   2.3875271159575501E-01
               185   1.85000000E+01   1.00000000E-01                5   8.1876343484739683E-02   2.3677512600950124E-01
               186   1.86000000E+01   1.00000000E-01                5   8.1087739075697760E-02   2.3032868512200858E-01
               187   1.87000000E+01   1.00000000E-01                5   7.7607645445891091E-02   2.1991165603233009E-01
               188   1.88000000E+01   1.00000000E-01                5   7.2095334092941207E-02   2.0691055544698900E-01
               189   1.89000000E+01   1.00000000E-01                5   6.6553526206435815E-02   1.9821847478609431E-01
               190   1.90000000E+01   1.00000000E-01                5   6.3169831227097170E-02   2.0071742154079739E-01
               191   1.91000000E+01   1.00000000E-01                5   6.2400670709289431E-02   2.1342936059213030E-01
               192   1.92000000E+01   1.00000000E-01                5   6.3407584898452621E-02   2.2836552568836352E-01
               193   1.93000000E+01   1.00000000E-01                5   6.5374893737525377E-02   2.3643347080828125E-01
               194   1.94000000E+01   1.00000000E-01                5   6.7436433389359896E-02   2.3595835220155784E-01
               195   1.95000000E+01   1.00000000E-01                5   6.8344739916439121E-02   2.3135161116455760E-01
               196   1.96000000E+01   1.00000000E-01                5   6.7470938257873411E-02   2.2445388989643544E-01
               197   1.97000000E+01   1.00000000E-01                5   6.5181069815260548E-02   2.1756249671183747E-01
               198   1.98000000E+01   1.00000000E-01                5   6.3131127060835096E-02   2.1627315908343794E-01
               199   1.99000000E+01   1.00000000E-01                5   6.2819962542000993E-02   2.2412786853886696E-01
               200   2.00000000E+01   1.00000000E-01                5   6.4273709663084669E-02   2.3796099451904870E-01
               201   2.01000000E+01   1.00000000E-01                5   6.6918603315655550E-02   2.5138193138528719E-01
               202   2.02000000E+01   1.00000000E-01                5   7.0192915645510001E-02   2.5925169678336063E-01
               203   2.03000000E+01   1.00000000E-01                5   7.3162610173656453E-02   2.6106234639799630E-01
               204   2.04000000E+01   1.00000000E-01                5   7.4750309521466246E-02   2.5825104731799847E-01
               205   2.05000000E+01   1.00000000E-01                5   7.4538837930811216E-02   2.5211634918160014E-01
               206   2.06000000E+01   1.00000000E-01                5   7.3028713478133125E-02   2.4484605885086277E-01
               207   2.07000000E+01   1.00000000E-01                5   7.1087389658115771E-02   2.3883415279374148E-01
               208   2.08000000E+01   1.00000000E-01                5   6.9880585548473595E-02   2.3682457833918935E-01
               209   2.09000000E+01   1.00000000E-01                5   7.0436089188971318E-02   2.3878255721896011E-01
               210   2.10000000E+01   1.00000000E-01                5   7.2920920754877674E-02   2.3847251168343045E-01
               211   2.11000000E+01   1.00000000E-01                5   7.6674476963302596E-02   2.3396811190859734E-01
               212   2.12000000E+01   1.00000000E-01                5   7.9639578833146082E-02   2.2725279790128813E-01
               213   2.13000000E+01   1.00000000E-01                5   8.0659802217332890E-02   2.1761444666173932E-01
               214   2.14000000E+01   1.00000000E-01                5   7.8961326756270517E-02   2.0186569497596399E-01
               215   2.15000000E+01   1.00000000E-01                5   7.4363325632069335E-02   1.7966798617605884E-01
               216   2.16000000E+01   1.00000000E-01                5   6.8611594697710832E-02   1.5892288425800893E-01
               217   2.17000000E+01   1.00000000E-01                5   6.4562073608614767E-02   1.5069377967034109E-01
               218   2.18000000E+01   1.00000000E-01                5   6.3524685388192517E-02   1.5862686607509635E-01
               219   2.19000000E+01   1.00000000E-01                5   6.5114600716138435E-02   1.7912626684874230E-01
               220   2.20000000E+01   1.00000000E-01                5   6.8719775747106332E-02   2.0523862994290337E-01
               221   2.21000000E+01   1.00000000E-01                5   7.3760972591973173E-02   2.2585560165773474E-01
               222   2.22000000E+01   1.00000000E-01                5   7.9387060365586362E-02   2.3350521399988480E-01
               223   2.23000000E+01   1.00000000E-01                5   8.3023730107765537E-02   2.3315732477095596E-01
               224   2.24000000E+01   1.00000000E-01                5   8.3279240922956382E-02   2.2713413985576106E-01
               225   2.25000000E+01   1.00000000E-01                5   7.9936295841299534E-02   2.1429350607531122E-01
               226   2.26000000E+01   1.00000000E-01                5   7.3895044605475677E-02   1.9669155697630478E-01
               227   2.27000000E+01   1.00000000E-01                5   6.7199273395861153E-02   1.8129882568857106E-01
